task_id,task_text,category,priority,status,due_date,cleaned_text,tokens,token_no_stopwords,stemmed_tokens,text_length,due_days_left,urgency_flag,priority_binary,assigned_to,predicted_priority
1,UI glitch in menu,Bug,Low,To Do,2025-06-26,ui glitch in menu,"['ui', 'glitch', 'in', 'menu']","['ui', 'glitch', 'menu']","['ui', 'glitch', 'menu']",4,4,0,0,Alice,0
2,Fix login issue,Bug,High,To Do,2025-06-29,fix login issue,"['fix', 'login', 'issue']","['fix', 'login', 'issue']","['fix', 'login', 'issu']",3,7,0,1,Charlie,1
3,Null pointer error,Bug,Medium,To Do,2025-06-28,null pointer error,"['null', 'pointer', 'error']","['null', 'pointer', 'error']","['null', 'pointer', 'error']",3,6,0,0,Charlie,0
4,Resolve payment bug,Bug,Low,In Progress,2025-07-03,resolve payment bug,"['resolve', 'payment', 'bug']","['resolve', 'payment', 'bug']","['resolv', 'payment', 'bug']",3,11,0,0,Diana,0
5,Crash on launch,Bug,Medium,In Progress,2025-06-26,crash on launch,"['crash', 'on', 'launch']","['crash', 'launch']","['crash', 'launch']",3,4,0,0,Alice,0
8,Fix login issue,Bug,High,Done,2025-06-30,fix login issue,"['fix', 'login', 'issue']","['fix', 'login', 'issue']","['fix', 'login', 'issu']",3,8,0,1,Diana,0
9,Null pointer error,Bug,Medium,To Do,2025-06-30,null pointer error,"['null', 'pointer', 'error']","['null', 'pointer', 'error']","['null', 'pointer', 'error']",3,8,0,0,Diana,0
12,Crash on launch,Bug,High,To Do,2025-07-02,crash on launch,"['crash', 'on', 'launch']","['crash', 'launch']","['crash', 'launch']",3,10,0,1,Bob,0
13,UI glitch in menu,Bug,Low,In Progress,2025-07-06,ui glitch in menu,"['ui', 'glitch', 'in', 'menu']","['ui', 'glitch', 'menu']","['ui', 'glitch', 'menu']",4,14,0,0,Charlie,0
14,Crash on launch,Bug,Low,Done,2025-06-30,crash on launch,"['crash', 'on', 'launch']","['crash', 'launch']","['crash', 'launch']",3,8,0,0,Charlie,0
15,Resolve payment bug,Bug,High,Done,2025-07-01,resolve payment bug,"['resolve', 'payment', 'bug']","['resolve', 'payment', 'bug']","['resolv', 'payment', 'bug']",3,9,0,1,Diana,1
16,UI glitch in menu,Bug,Low,To Do,2025-06-23,ui glitch in menu,"['ui', 'glitch', 'in', 'menu']","['ui', 'glitch', 'menu']","['ui', 'glitch', 'menu']",4,1,1,0,Charlie,0
17,Fix login issue,Bug,High,To Do,2025-07-08,fix login issue,"['fix', 'login', 'issue']","['fix', 'login', 'issue']","['fix', 'login', 'issu']",3,16,0,1,Diana,1
19,Null pointer error,Bug,Medium,Done,2025-07-10,null pointer error,"['null', 'pointer', 'error']","['null', 'pointer', 'error']","['null', 'pointer', 'error']",3,18,0,0,Diana,0
21,UI glitch in menu,Bug,Low,In Progress,2025-07-01,ui glitch in menu,"['ui', 'glitch', 'in', 'menu']","['ui', 'glitch', 'menu']","['ui', 'glitch', 'menu']",4,9,0,0,Diana,0
22,Null pointer error,Bug,High,Done,2025-07-09,null pointer error,"['null', 'pointer', 'error']","['null', 'pointer', 'error']","['null', 'pointer', 'error']",3,17,0,1,Charlie,0
23,UI glitch in menu,Bug,High,Done,2025-06-29,ui glitch in menu,"['ui', 'glitch', 'in', 'menu']","['ui', 'glitch', 'menu']","['ui', 'glitch', 'menu']",4,7,0,1,Diana,0
26,Null pointer error,Bug,Medium,Done,2025-07-02,null pointer error,"['null', 'pointer', 'error']","['null', 'pointer', 'error']","['null', 'pointer', 'error']",3,10,0,0,Diana,0
28,Null pointer error,Bug,Low,Done,2025-06-29,null pointer error,"['null', 'pointer', 'error']","['null', 'pointer', 'error']","['null', 'pointer', 'error']",3,7,0,0,Bob,0
29,Fix login issue,Bug,Low,To Do,2025-07-11,fix login issue,"['fix', 'login', 'issue']","['fix', 'login', 'issue']","['fix', 'login', 'issu']",3,19,0,0,Charlie,0
30,Crash on launch,Bug,High,Done,2025-07-03,crash on launch,"['crash', 'on', 'launch']","['crash', 'launch']","['crash', 'launch']",3,11,0,1,Charlie,1
31,Crash on launch,Bug,Low,Done,2025-07-04,crash on launch,"['crash', 'on', 'launch']","['crash', 'launch']","['crash', 'launch']",3,12,0,0,Alice,0
32,Fix login issue,Bug,Low,In Progress,2025-07-08,fix login issue,"['fix', 'login', 'issue']","['fix', 'login', 'issue']","['fix', 'login', 'issu']",3,16,0,0,Bob,0
33,Crash on launch,Bug,Low,In Progress,2025-06-26,crash on launch,"['crash', 'on', 'launch']","['crash', 'launch']","['crash', 'launch']",3,4,0,0,Bob,0
34,Crash on launch,Bug,Low,To Do,2025-06-22,crash on launch,"['crash', 'on', 'launch']","['crash', 'launch']","['crash', 'launch']",3,0,1,0,Diana,0
35,UI glitch in menu,Bug,Low,To Do,2025-06-22,ui glitch in menu,"['ui', 'glitch', 'in', 'menu']","['ui', 'glitch', 'menu']","['ui', 'glitch', 'menu']",4,0,1,0,Charlie,0
36,Null pointer error,Bug,Low,Done,2025-07-09,null pointer error,"['null', 'pointer', 'error']","['null', 'pointer', 'error']","['null', 'pointer', 'error']",3,17,0,0,Bob,0
38,Null pointer error,Bug,High,Done,2025-07-07,null pointer error,"['null', 'pointer', 'error']","['null', 'pointer', 'error']","['null', 'pointer', 'error']",3,15,0,1,Charlie,1
39,Null pointer error,Bug,Medium,In Progress,2025-06-28,null pointer error,"['null', 'pointer', 'error']","['null', 'pointer', 'error']","['null', 'pointer', 'error']",3,6,0,0,Alice,0
40,Crash on launch,Bug,Medium,In Progress,2025-07-07,crash on launch,"['crash', 'on', 'launch']","['crash', 'launch']","['crash', 'launch']",3,15,0,0,Charlie,0
41,Resolve payment bug,Bug,High,To Do,2025-06-27,resolve payment bug,"['resolve', 'payment', 'bug']","['resolve', 'payment', 'bug']","['resolv', 'payment', 'bug']",3,5,0,1,Charlie,1
42,Fix login issue,Bug,High,Done,2025-07-08,fix login issue,"['fix', 'login', 'issue']","['fix', 'login', 'issue']","['fix', 'login', 'issu']",3,16,0,1,Diana,1
44,Null pointer error,Bug,High,To Do,2025-07-04,null pointer error,"['null', 'pointer', 'error']","['null', 'pointer', 'error']","['null', 'pointer', 'error']",3,12,0,1,Bob,1
45,Fix login issue,Bug,Medium,To Do,2025-06-26,fix login issue,"['fix', 'login', 'issue']","['fix', 'login', 'issue']","['fix', 'login', 'issu']",3,4,0,0,Diana,0
46,UI glitch in menu,Bug,Low,To Do,2025-06-26,ui glitch in menu,"['ui', 'glitch', 'in', 'menu']","['ui', 'glitch', 'menu']","['ui', 'glitch', 'menu']",4,4,0,0,Charlie,0
47,Null pointer error,Bug,Low,To Do,2025-07-04,null pointer error,"['null', 'pointer', 'error']","['null', 'pointer', 'error']","['null', 'pointer', 'error']",3,12,0,0,Bob,1
50,Fix login issue,Bug,Low,In Progress,2025-07-04,fix login issue,"['fix', 'login', 'issue']","['fix', 'login', 'issue']","['fix', 'login', 'issu']",3,12,0,0,Charlie,0
55,Crash on launch,Bug,Medium,In Progress,2025-07-09,crash on launch,"['crash', 'on', 'launch']","['crash', 'launch']","['crash', 'launch']",3,17,0,0,Charlie,0
56,Null pointer error,Bug,Low,Done,2025-06-26,null pointer error,"['null', 'pointer', 'error']","['null', 'pointer', 'error']","['null', 'pointer', 'error']",3,4,0,0,Alice,0
57,Crash on launch,Bug,High,Done,2025-06-29,crash on launch,"['crash', 'on', 'launch']","['crash', 'launch']","['crash', 'launch']",3,7,0,1,Bob,0
59,Fix login issue,Bug,High,In Progress,2025-07-06,fix login issue,"['fix', 'login', 'issue']","['fix', 'login', 'issue']","['fix', 'login', 'issu']",3,14,0,1,Bob,1
60,Resolve payment bug,Bug,High,In Progress,2025-06-25,resolve payment bug,"['resolve', 'payment', 'bug']","['resolve', 'payment', 'bug']","['resolv', 'payment', 'bug']",3,3,0,1,Bob,0
61,Crash on launch,Bug,High,To Do,2025-06-23,crash on launch,"['crash', 'on', 'launch']","['crash', 'launch']","['crash', 'launch']",3,1,1,1,Alice,0
62,Null pointer error,Bug,Low,In Progress,2025-07-06,null pointer error,"['null', 'pointer', 'error']","['null', 'pointer', 'error']","['null', 'pointer', 'error']",3,14,0,0,Diana,1
64,Resolve payment bug,Bug,Medium,In Progress,2025-07-03,resolve payment bug,"['resolve', 'payment', 'bug']","['resolve', 'payment', 'bug']","['resolv', 'payment', 'bug']",3,11,0,0,Charlie,0
65,Resolve payment bug,Bug,Medium,To Do,2025-07-04,resolve payment bug,"['resolve', 'payment', 'bug']","['resolve', 'payment', 'bug']","['resolv', 'payment', 'bug']",3,12,0,0,Diana,1
66,Crash on launch,Bug,Medium,Done,2025-07-10,crash on launch,"['crash', 'on', 'launch']","['crash', 'launch']","['crash', 'launch']",3,18,0,0,Charlie,0
67,Resolve payment bug,Bug,Low,Done,2025-07-08,resolve payment bug,"['resolve', 'payment', 'bug']","['resolve', 'payment', 'bug']","['resolv', 'payment', 'bug']",3,16,0,0,Charlie,1
69,Null pointer error,Bug,High,Done,2025-07-08,null pointer error,"['null', 'pointer', 'error']","['null', 'pointer', 'error']","['null', 'pointer', 'error']",3,16,0,1,Bob,1
72,Crash on launch,Bug,Medium,Done,2025-06-29,crash on launch,"['crash', 'on', 'launch']","['crash', 'launch']","['crash', 'launch']",3,7,0,0,Charlie,0
73,Resolve payment bug,Bug,Medium,In Progress,2025-07-07,resolve payment bug,"['resolve', 'payment', 'bug']","['resolve', 'payment', 'bug']","['resolv', 'payment', 'bug']",3,15,0,0,Bob,0
77,UI glitch in menu,Bug,Low,Done,2025-06-29,ui glitch in menu,"['ui', 'glitch', 'in', 'menu']","['ui', 'glitch', 'menu']","['ui', 'glitch', 'menu']",4,7,0,0,Alice,0
79,Resolve payment bug,Bug,Low,To Do,2025-07-08,resolve payment bug,"['resolve', 'payment', 'bug']","['resolve', 'payment', 'bug']","['resolv', 'payment', 'bug']",3,16,0,0,Alice,1
80,Fix login issue,Bug,High,Done,2025-07-10,fix login issue,"['fix', 'login', 'issue']","['fix', 'login', 'issue']","['fix', 'login', 'issu']",3,18,0,1,Diana,0
81,Crash on launch,Bug,Low,In Progress,2025-06-25,crash on launch,"['crash', 'on', 'launch']","['crash', 'launch']","['crash', 'launch']",3,3,0,0,Charlie,0
83,Null pointer error,Bug,Medium,In Progress,2025-06-29,null pointer error,"['null', 'pointer', 'error']","['null', 'pointer', 'error']","['null', 'pointer', 'error']",3,7,0,0,Alice,0
85,Crash on launch,Bug,Low,In Progress,2025-06-27,crash on launch,"['crash', 'on', 'launch']","['crash', 'launch']","['crash', 'launch']",3,5,0,0,Diana,0
87,Crash on launch,Bug,High,To Do,2025-07-10,crash on launch,"['crash', 'on', 'launch']","['crash', 'launch']","['crash', 'launch']",3,18,0,1,Charlie,0
89,Resolve payment bug,Bug,High,In Progress,2025-07-05,resolve payment bug,"['resolve', 'payment', 'bug']","['resolve', 'payment', 'bug']","['resolv', 'payment', 'bug']",3,13,0,1,Charlie,1
91,Null pointer error,Bug,Low,To Do,2025-06-28,null pointer error,"['null', 'pointer', 'error']","['null', 'pointer', 'error']","['null', 'pointer', 'error']",3,6,0,0,Alice,0
92,Crash on launch,Bug,Medium,Done,2025-06-28,crash on launch,"['crash', 'on', 'launch']","['crash', 'launch']","['crash', 'launch']",3,6,0,0,Diana,0
94,Null pointer error,Bug,Medium,To Do,2025-06-24,null pointer error,"['null', 'pointer', 'error']","['null', 'pointer', 'error']","['null', 'pointer', 'error']",3,2,1,0,Charlie,0
95,Crash on launch,Bug,High,To Do,2025-07-06,crash on launch,"['crash', 'on', 'launch']","['crash', 'launch']","['crash', 'launch']",3,14,0,1,Charlie,1
97,Crash on launch,Bug,High,In Progress,2025-07-10,crash on launch,"['crash', 'on', 'launch']","['crash', 'launch']","['crash', 'launch']",3,18,0,1,Bob,0
99,Fix login issue,Bug,Medium,Done,2025-06-26,fix login issue,"['fix', 'login', 'issue']","['fix', 'login', 'issue']","['fix', 'login', 'issu']",3,4,0,0,Bob,0
100,Fix login issue,Bug,Medium,Done,2025-07-10,fix login issue,"['fix', 'login', 'issue']","['fix', 'login', 'issue']","['fix', 'login', 'issu']",3,18,0,0,Bob,0
101,Implement search filter,Feature,High,In Progress,2025-07-04,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,12,0,1,Alice,1
102,Build notification system,Feature,Medium,To Do,2025-06-23,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,1,1,0,Charlie,0
103,Build notification system,Feature,Medium,In Progress,2025-07-11,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,19,0,0,Bob,0
104,Implement search filter,Feature,High,Done,2025-06-29,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,7,0,1,Alice,1
105,Build notification system,Feature,High,In Progress,2025-06-24,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,2,1,1,Bob,0
106,Integrate chat module,Feature,High,In Progress,2025-07-06,integrate chat module,"['integrate', 'chat', 'module']","['integrate', 'chat', 'module']","['integr', 'chat', 'modul']",3,14,0,1,Alice,1
107,Implement search filter,Feature,Medium,To Do,2025-07-06,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,14,0,0,Alice,0
109,Build notification system,Feature,High,To Do,2025-07-02,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,10,0,1,Diana,0
112,Implement search filter,Feature,Low,In Progress,2025-06-26,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,4,0,0,Diana,0
113,Add dark mode,Feature,Low,To Do,2025-06-25,add dark mode,"['add', 'dark', 'mode']","['add', 'dark', 'mode']","['add', 'dark', 'mode']",3,3,0,0,Bob,0
114,Build notification system,Feature,Medium,In Progress,2025-07-07,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,15,0,0,Charlie,0
116,Build notification system,Feature,Medium,To Do,2025-06-29,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,7,0,0,Diana,0
117,Implement search filter,Feature,High,In Progress,2025-06-29,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,7,0,1,Charlie,0
120,Integrate chat module,Feature,High,Done,2025-07-05,integrate chat module,"['integrate', 'chat', 'module']","['integrate', 'chat', 'module']","['integr', 'chat', 'modul']",3,13,0,1,Diana,1
125,Implement search filter,Feature,High,In Progress,2025-06-25,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,3,0,1,Alice,1
127,Integrate chat module,Feature,High,Done,2025-06-30,integrate chat module,"['integrate', 'chat', 'module']","['integrate', 'chat', 'module']","['integr', 'chat', 'modul']",3,8,0,1,Diana,1
129,Build notification system,Feature,High,In Progress,2025-07-06,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,14,0,1,Diana,1
130,Add dark mode,Feature,High,To Do,2025-06-27,add dark mode,"['add', 'dark', 'mode']","['add', 'dark', 'mode']","['add', 'dark', 'mode']",3,5,0,1,Bob,1
133,Implement search filter,Feature,High,In Progress,2025-07-01,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,9,0,1,Bob,0
134,Add dark mode,Feature,Low,In Progress,2025-07-10,add dark mode,"['add', 'dark', 'mode']","['add', 'dark', 'mode']","['add', 'dark', 'mode']",3,18,0,0,Bob,0
135,Integrate chat module,Feature,Low,In Progress,2025-07-05,integrate chat module,"['integrate', 'chat', 'module']","['integrate', 'chat', 'module']","['integr', 'chat', 'modul']",3,13,0,0,Alice,0
136,Implement search filter,Feature,Medium,In Progress,2025-06-28,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,6,0,0,Alice,0
137,Integrate chat module,Feature,High,To Do,2025-06-22,integrate chat module,"['integrate', 'chat', 'module']","['integrate', 'chat', 'module']","['integr', 'chat', 'modul']",3,0,1,1,Charlie,0
139,Add dark mode,Feature,High,Done,2025-07-05,add dark mode,"['add', 'dark', 'mode']","['add', 'dark', 'mode']","['add', 'dark', 'mode']",3,13,0,1,Bob,1
140,Build notification system,Feature,High,To Do,2025-07-07,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,15,0,1,Charlie,0
141,Integrate chat module,Feature,High,In Progress,2025-07-02,integrate chat module,"['integrate', 'chat', 'module']","['integrate', 'chat', 'module']","['integr', 'chat', 'modul']",3,10,0,1,Diana,1
142,Integrate chat module,Feature,Low,In Progress,2025-06-24,integrate chat module,"['integrate', 'chat', 'module']","['integrate', 'chat', 'module']","['integr', 'chat', 'modul']",3,2,1,0,Charlie,0
143,Build notification system,Feature,High,To Do,2025-07-11,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,19,0,1,Charlie,0
144,Build notification system,Feature,Medium,Done,2025-06-25,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,3,0,0,Bob,0
145,Integrate chat module,Feature,Low,Done,2025-07-11,integrate chat module,"['integrate', 'chat', 'module']","['integrate', 'chat', 'module']","['integr', 'chat', 'modul']",3,19,0,0,Diana,0
146,Build notification system,Feature,Low,In Progress,2025-06-27,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,5,0,0,Charlie,0
148,Build notification system,Feature,Low,To Do,2025-07-06,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,14,0,0,Alice,0
150,Implement search filter,Feature,Low,In Progress,2025-07-10,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,18,0,0,Diana,0
151,Implement search filter,Feature,High,Done,2025-06-30,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,8,0,1,Bob,1
153,Build notification system,Feature,Medium,In Progress,2025-06-26,build notification system,"['build', 'notification', 'system']","['build', 'notification', 'system']","['build', 'notif', 'system']",3,4,0,0,Diana,0
155,Add dark mode,Feature,Low,In Progress,2025-07-08,add dark mode,"['add', 'dark', 'mode']","['add', 'dark', 'mode']","['add', 'dark', 'mode']",3,16,0,0,Diana,0
157,Implement search filter,Feature,Medium,To Do,2025-06-30,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,8,0,0,Diana,0
160,Integrate chat module,Feature,Medium,In Progress,2025-07-05,integrate chat module,"['integrate', 'chat', 'module']","['integrate', 'chat', 'module']","['integr', 'chat', 'modul']",3,13,0,0,Bob,0
161,Implement search filter,Feature,Low,In Progress,2025-07-10,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,18,0,0,Bob,0
163,Implement search filter,Feature,High,To Do,2025-07-06,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,14,0,1,Bob,0
164,Integrate chat module,Feature,Medium,Done,2025-07-09,integrate chat module,"['integrate', 'chat', 'module']","['integrate', 'chat', 'module']","['integr', 'chat', 'modul']",3,17,0,0,Diana,0
165,Integrate chat module,Feature,Medium,Done,2025-07-11,integrate chat module,"['integrate', 'chat', 'module']","['integrate', 'chat', 'module']","['integr', 'chat', 'modul']",3,19,0,0,Charlie,0
166,Implement search filter,Feature,Medium,Done,2025-06-23,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,1,1,0,Bob,0
168,Implement search filter,Feature,High,Done,2025-07-03,implement search filter,"['implement', 'search', 'filter']","['implement', 'search', 'filter']","['implement', 'search', 'filter']",3,11,0,1,Charlie,1
